Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Saint Kitts and Nevis,04/05/2020 16:34,10,0,0
,Mozambique,04/05/2020 16:34,10,0,1
,Angola,04/05/2020 16:34,10,2,2
,Suriname,04/05/2020 16:34,10,1,0
,MS Zaandam,04/05/2020 16:34,9,2,0
,Zimbabwe,04/05/2020 16:34,9,1,0
,Nepal,04/05/2020 16:34,9,0,1
,Chad,04/05/2020 16:34,9,0,0
,Eswatini,04/05/2020 16:34,9,0,0
,CAR,04/05/2020 16:34,8,0,0
,Somalia,04/05/2020 16:34,7,0,1
,St. Vincent Grenadines,04/05/2020 16:34,7,0,1
,Cabo Verde,04/05/2020 16:34,7,1,0
,Vatican City,04/05/2020 16:34,7,0,0
,Montserrat,04/05/2020 16:34,6,0,0
,Mauritania,04/05/2020 16:34,6,1,2
,Sierra Leone,04/05/2020 16:34,6,0,0
,St. Barth,04/05/2020 16:34,6,0,1
,Nicaragua,04/05/2020 16:34,5,1,0
,Turks and Caicos,04/05/2020 16:34,5,1,0
,Belize,04/05/2020 16:34,5,0,0
,Bhutan,04/05/2020 16:34,5,0,2
,Western Sahara,04/05/2020 16:34,4,0,0
,Gambia,04/05/2020 16:34,4,1,2
,Botswana,04/05/2020 16:34,4,1,0
,Malawi,04/05/2020 16:34,4,0,0
,Anguilla,04/05/2020 16:34,3,0,0
,British Virgin Islands,04/05/2020 16:34,3,0,0
,Burundi,04/05/2020 16:34,3,0,0
,Caribbean Netherlands,04/05/2020 16:34,2,0,0
,Falkland Islands,04/05/2020 16:34,1,0,0
,Papua New Guinea,04/05/2020 16:34,1,0,0
,Saint Pierre Miquelon,04/05/2020 16:34,1,0,0
,South Sudan,04/05/2020 16:34,1,0,0
,Timor-Leste,04/05/2020 16:34,1,0,0
