Province/State,Country/Region,Last Update,confirmed,deaths,recovered
,Jamaica,03/28/2020 08:45,30,1,2.0
,Isle of Man,03/28/2020 08:45,29,0,0.0
,French Guiana,03/28/2020 08:45,28,0,6.0
,Barbados,03/28/2020 08:45,26,0,0.0
,Madagascar,03/28/2020 08:45,26,0,0.0
,Togo,03/28/2020 08:45,25,1,1.0
,Uganda,03/28/2020 08:45,23,0,0.0
,Zambia,03/28/2020 08:45,22,0,0.0
,El Salvador,03/28/2020 08:45,19,0,0.0
,Bermuda,03/28/2020 08:45,17,0,2.0
,Ethiopia,03/28/2020 08:45,16,0,0.0
,Maldives,03/28/2020 08:45,16,0,9.0
,New Caledonia,03/28/2020 08:45,15,0,0.0
,Tanzania,03/28/2020 08:45,13,0,1.0
,Djibouti,03/28/2020 08:45,12,0,0.0
,Equatorial Guinea,03/28/2020 08:45,12,0,0.0
,Mongolia,03/28/2020 08:45,12,0,0.0
,Dominica,03/28/2020 08:45,11,0,0.0
,Mali,03/28/2020 08:45,11,0,0.0
,Saint Martin,03/28/2020 08:45,11,0,0.0
,Niger,03/28/2020 08:45,10,1,0.0
,Bahamas,03/28/2020 08:45,10,0,1.0
,Greenland,03/28/2020 08:45,10,0,2.0
,Eswatini,03/28/2020 08:45,9,0,0.0
,Curacao,03/28/2020 08:45,8,1,2.0
,Namibia,03/28/2020 08:45,8,0,2.0
,Guinea,03/28/2020 08:45,8,0,0.0
,Suriname,03/28/2020 08:45,8,0,0.0
,Cayman Islands,03/28/2020 08:45,8,1,0.0
,Myanmar,03/28/2020 08:45,8,0,0.0
,Haiti,03/28/2020 08:45,8,0,0.0
,Antigua and Barbuda,03/28/2020 08:45,7,0,0.0
,Mozambique,03/28/2020 08:45,7,0,0.0
,Seychelles,03/28/2020 08:45,7,0,0.0
,Gabon,03/28/2020 08:45,7,1,0.0
,Grenada,03/28/2020 08:45,7,0,0.0
,Benin,03/28/2020 08:45,6,0,0.0
,Eritrea,03/28/2020 08:45,6,0,0.0
,Laos,03/28/2020 08:45,6,0,0.0
,Mauritania,03/28/2020 08:45,5,0,0.0
,Syria,03/28/2020 08:45,5,0,0.0
,St. Barth,03/28/2020 08:45,5,0,0.0
,Montserrat,03/28/2020 08:45,5,0,0.0
,Sudan,03/28/2020 08:45,5,1,0.0
,Fiji,03/28/2020 08:45,5,0,0.0
,Zimbabwe,03/28/2020 08:45,5,1,0.0
,Cabo Verde,03/28/2020 08:45,5,1,0.0
,Guyana,03/28/2020 08:45,5,1,0.0
,Vatican City,03/28/2020 08:45,4,0,0.0
,Congo,03/28/2020 08:45,4,0,0.0
,Angola,03/28/2020 08:45,4,0,0.0
,Nicaragua,03/28/2020 08:45,4,1,0.0
,Nepal,03/28/2020 08:45,4,0,1.0
,Bhutan,03/28/2020 08:45,3,0,0.0
,Chad,03/28/2020 08:45,3,0,0.0
,Liberia,03/28/2020 08:45,3,0,0.0
,Saint Lucia,03/28/2020 08:45,3,0,1.0
,Sint Maarten,03/28/2020 08:45,3,0,0.0
,Somalia,03/28/2020 08:45,3,0,0.0
,Gambia,03/28/2020 08:45,3,1,0.0
,CAR,03/28/2020 08:45,3,0,0.0
,Guinea-Bissau,03/28/2020 08:45,2,0,0.0
,Turks and Caicos,03/28/2020 08:45,2,0,0.0
,Saint Kitts and Nevis,03/28/2020 08:45,2,0,0.0
,Belize,03/28/2020 08:45,2,0,0.0
,British Virgin Islands,03/28/2020 08:45,2,0,0.0
,MS Zaandam,03/28/2020 08:45,2,0,0.0
,Anguilla,03/28/2020 08:45,2,0,0.0
,Libya,03/28/2020 08:45,1,0,0.0
,Papua New Guinea,03/28/2020 08:45,1,0,0.0
,St. Vincent Grenadines,03/28/2020 08:45,1,0,0.0
,Timor-Leste,03/28/2020 08:45,1,0,0.0
