Province/State,Confirmed,Deaths,Recovered,Country/Region,Last Update
,8,1,0.0,Cayman Islands,3/27/2020 14:23
,8,0,0.0,Guinea,3/27/2020 14:23
,8,0,0.0,Haiti,3/27/2020 14:23
,8,0,2.0,Namibia,3/27/2020 14:23
,8,0,0.0,Suriname,3/27/2020 14:23
,7,1,2.0,Curacao,3/27/2020 14:23
,7,1,0.0,Gabon,3/27/2020 14:23
,7,0,0.0,Antigua and Barbuda,3/27/2020 14:23
,7,0,0.0,Grenada,3/27/2020 14:23
,7,0,0.0,Mozambique,3/27/2020 14:23
,7,0,0.0,Seychelles,3/27/2020 14:23
,6,0,0.0,Benin,3/27/2020 14:23
,6,0,0.0,Eritrea,3/27/2020 14:23
,6,0,0.0,Laos,3/27/2020 14:23
,6,0,0.0,Eswatini,3/27/2020 14:23
,5,1,0.0,Cabo Verde,3/27/2020 14:23
,5,1,0.0,Guyana,3/27/2020 14:23
,5,1,0.0,Zimbabwe,3/27/2020 14:23
,5,0,0.0,Fiji,3/27/2020 14:23
,5,0,0.0,Montserrat,3/27/2020 14:23
,5,0,0.0,Myanmar,3/27/2020 14:23
,5,0,0.0,Syria,3/27/2020 14:23
,4,0,1.0,Nepal,3/27/2020 14:23
,4,0,0.0,Angola,3/27/2020 14:23
,4,0,0.0,Congo,3/27/2020 14:23
,4,0,0.0,Vatican City,3/27/2020 14:23
,3,1,0.0,Gambia,3/27/2020 14:23
,3,1,0.0,Sudan,3/27/2020 14:23
,3,0,0.0,Bhutan,3/27/2020 14:23
,3,0,0.0,CAR,3/27/2020 14:23
,3,0,0.0,Chad,3/27/2020 14:23
,3,0,0.0,Liberia,3/27/2020 14:23
,3,0,0.0,Mauritania,3/27/2020 14:23
,3,0,0.0,St. Barth,3/27/2020 14:23
,3,0,1.0,Saint Lucia,3/27/2020 14:23
,3,0,0.0,Sint Maarten,3/27/2020 14:23
,3,0,0.0,Somalia,3/27/2020 14:23
,2,1,0.0,Nicaragua,3/27/2020 14:23
,2,0,0.0,Anguilla,3/27/2020 14:23
,2,0,0.0,Belize,3/27/2020 14:23
,2,0,0.0,British Virgin Islands,3/27/2020 14:23
,2,0,0.0,Guinea-Bissau,3/27/2020 14:23
,2,0,0.0,Saint Kitts and Nevis,3/27/2020 14:23
,2,0,0.0,Turks and Caicos,3/27/2020 14:23
,1,0,0.0,Libya,3/27/2020 14:23
,1,0,0.0,Papua New Guinea,3/27/2020 14:23
,1,0,0.0,St. Vincent Grenadines,3/27/2020 14:23
,1,0,0.0,Timor-Leste,3/27/2020 14:23
